大陆央视,#genre#
香港Now系列,#genre#
Now Sports 618 欧洲杯,https://histar.zapi.us.kg/?id=now-sports-618
Now Sports 619 欧洲杯,https://histar.zapi.us.kg/?id=now-sports-619
Now Lucky 688 欧洲杯,https://histar.zapi.us.kg/?id=now-lucky-688
Now 财经台,https://histar.zapi.us.kg/?id=now-finance
Now 爆谷台,https://histar.zapi.us.kg/?id=baogu-movies
Now 星影台,https://histar.zapi.us.kg/?id=now-baogu-superstars
Now 新闻台,https://histar.zapi.us.kg/?id=now-news
Now 直播台,https://histar.zapi.us.kg/?id=now-direct
Now报价台,https://histar.zapi.us.kg/?id=now-data
Now jelli紫金国际台,https://histar.zapi.us.kg/?id=now-jelli
Now华剧台,https://histar.zapi.us.kg/?id=now-chinese-drama
HBO Now115,https://histar.zapi.us.kg/?id=Now-HBO
Now HBO Hits,https://histar.zapi.us.kg/?id=now-hbo-hits
Now HBO Family,https://histar.zapi.us.kg/?id=now-hbof-amily
Now HBO Signature,https://histar.zapi.us.kg/?id=now-hbo-signature
MovieMovie,https://histar.zapi.us.kg/?id=moviemovie
NowViu剧集台,https://histar.zapi.us.kg/?id=now-viu-drama
Now Sports 641,https://histar.zapi.us.kg/?id=now-sports641
Now NBA,https://histar.zapi.us.kg/?id=now-nba
Now Sports精选,https://histar.zapi.us.kg/?id=now-sports-prime
Now Sports 1,https://histar.zapi.us.kg/?id=now-sports-1
Now Sports 2,https://histar.zapi.us.kg/?id=now-sports-2
Now Sports 3,https://histar.zapi.us.kg/?id=now-sports-3
Now Sports 4,https://histar.zapi.us.kg/?id=now-sports-4
Now Sports 5,https://histar.zapi.us.kg/?id=now-sports-5
Now Sports 6,https://histar.zapi.us.kg/?id=now-sports-6
Now Sports 7,https://histar.zapi.us.kg/?id=now-sports-7
Now Sports Plus,https://histar.zapi.us.kg/?id=now-sports-plus
Now Sports 英超1,https://histar.zapi.us.kg/?id=now-sports-premier-league1
Now beIN SPORTS 1,https://histar.zapi.us.kg/?id=now-bein-sports1
Now beIN SPORTS 2,https://histar.zapi.us.kg/?id=now-bein-sports2
Now beIN SPORTS 3,https://histar.zapi.us.kg/?id=now-bein-sports3
Now 668,https://histar.zapi.us.kg/?id=now-668
Now Golf 2,https://histar.zapi.us.kg/?id=now-golf2
Now Golf 3,https://histar.zapi.us.kg/?id=now-golf3
台湾综合,#genre#
民视,https://histar.zapi.us.kg/?id=ftv
民视台湾台,https://histar.zapi.us.kg/?id=ftv-tw
民视第一台,https://histar.zapi.us.kg/?id=ftv-one
纬来日本,https://histar.zapi.us.kg/?id=videoland-japan
纬来综合,https://histar.zapi.us.kg/?id=videoland
八大综合,https://histar.zapi.us.kg/?id=gtv28
八大第一,https://histar.zapi.us.kg/?id=gtv27
TVBS 精采台,https://histar.zapi.us.kg/?id=tvbs-jc
TVBS 欢乐台,https://histar.zapi.us.kg/?id=tvbs-huanle
TVBS Asia,https://histar.zapi.us.kg/?id=tvbs-asia
三立台湾台,https://histar.zapi.us.kg/?id=settv-taiwan
三立综合台,https://histar.zapi.us.kg/?id=settv-zonghe
台视,https://histar.zapi.us.kg/?id=ttv
东森超视,https://histar.zapi.us.kg/?id=ebc-super
东森综合台,https://histar.zapi.us.kg/?id=ebc-ettv
中视,https://histar.zapi.us.kg/?id=ctv
中视菁采台,https://histar.zapi.us.kg/?id=bravo
中天亚洲,https://histar.zapi.us.kg/?id=cti-asia
中天综合,https://histar.zapi.us.kg/?id=ctitv36
华视,https://histar.zapi.us.kg/?id=cts
LiveABC 互动英语频道,https://histar.zapi.us.kg/?id=liveabc
好消息,https://histar.zapi.us.kg/?id=goodtv
KLT-靖天国际台,https://histar.zapi.us.kg/?id=jtgj
ELTA综合台,https://histar.zapi.us.kg/?id=elta-zonghe
公视,https://histar.zapi.us.kg/?id=pts
公视3台,https://histar.zapi.us.kg/?id=pts-3
公视台语台,https://histar.zapi.us.kg/?id=pts-ty
靖天综合台,https://histar.zapi.us.kg/?id=jtzh
靖天日本台,https://histar.zapi.us.kg/?id=jtrb
客家电视台,https://histar.zapi.us.kg/?id=hakkatv
大爱一台,https://histar.zapi.us.kg/?id=daai1
大爱二台,https://histar.zapi.us.kg/?id=daai2
ARIRANG 阿里郎频道,https://histar.zapi.us.kg/?id=arirang
台湾新闻财经,#genre#
中天新闻,https://histar.zapi.us.kg/?id=cti-news
TVBS 新闻台,https://histar.zapi.us.kg/?id=tvbs-news
TVBS HD,https://histar.zapi.us.kg/?id=tvbs-hd
东森新闻,https://histar.zapi.us.kg/?id=ebc-news
东森财经新闻,https://histar.zapi.us.kg/?id=ebc-finance
寰宇新闻台,https://histar.zapi.us.kg/?id=global-news
寰宇财经台,https://histar.zapi.us.kg/?id=global-finance
寰宇新闻台湾台,https://histar.zapi.us.kg/?id=global-news-tw
壹新闻 HD,https://histar.zapi.us.kg/?id=nexttv
三立新闻,https://histar.zapi.us.kg/?id=settv-news
三立iNews,https://histar.zapi.us.kg/?id=settv-inews
中视新闻,https://histar.zapi.us.kg/?id=ctv-news
非凡新闻,https://histar.zapi.us.kg/?id=unique-business-news
年代新闻,https://histar.zapi.us.kg/?id=era-news
民视新闻台,https://histar.zapi.us.kg/?id=ftv-news
台视新闻,https://histar.zapi.us.kg/?id=ttv-news
镜电视新闻台,https://histar.zapi.us.kg/?id=mnews
华视新闻,https://histar.zapi.us.kg/?id=cts-news
半岛国际新闻台,https://histar.zapi.us.kg/?id=aljazeera
SBN 全球财经台,https://histar.zapi.us.kg/?id=sbn
靖天资讯台,https://histar.zapi.us.kg/?id=jtzx
台湾影音娱乐,#genre#
纬来电影台,https://histar.zapi.us.kg/?id=videoland-movie
纬来戏剧,https://histar.zapi.us.kg/?id=videoland-drama
TVBS综艺台,https://histar.zapi.us.kg/?id=tvbs-zongyi
TVBS台剧台,https://histar.zapi.us.kg/?id=tvbs-taiju
龙祥电影台,https://histar.zapi.us.kg/?id=lstime
龙华电影台,https://histar.zapi.us.kg/?id=ltv-movies
龙华戏剧台,https://histar.zapi.us.kg/?id=ltv-xiju
龙华日韩台,https://histar.zapi.us.kg/?id=ltv-rihan
东森电影,https://histar.zapi.us.kg/?id=ebc-movie
东森戏剧,https://histar.zapi.us.kg/?id=ebc-drama
东森洋片,https://histar.zapi.us.kg/?id=ebc-emovie
八大精彩台,https://histar.zapi.us.kg/?id=gtv-jct
八大戏剧,https://histar.zapi.us.kg/?id=gtv-41
八大娱乐,https://histar.zapi.us.kg/?id=gtv-86
八大综艺,https://histar.zapi.us.kg/?id=grt
采昌影剧台,https://histar.zapi.us.kg/?id=caichang
美亚电影台,https://histar.zapi.us.kg/?id=meiah-movies
猪哥亮歌厅秀,https://histar.zapi.us.kg/?id=zglgtx
民视综艺,https://histar.zapi.us.kg/?id=ftv-reality
民视影剧,https://histar.zapi.us.kg/?id=ftv-drama
三立都会台,https://histar.zapi.us.kg/?id=settv-city
三立戏剧台,https://histar.zapi.us.kg/?id=settv-drama
中视经典台,https://histar.zapi.us.kg/?id=ctv-classic
中天娱乐,https://histar.zapi.us.kg/?id=cti-yule
靖洋戏剧台,https://histar.zapi.us.kg/?id=jyxj
靖天映画,https://histar.zapi.us.kg/?id=jtyh
靖天电影台,https://histar.zapi.us.kg/?id=jtdy
靖天戏剧台,https://histar.zapi.us.kg/?id=jtxjt
韩国娱乐台 KMTV,https://histar.zapi.us.kg/?id=kmtv
公视戏剧,https://histar.zapi.us.kg/?id=gsxj
影迷数位纪实台,https://histar.zapi.us.kg/?id=ymswjst
影迷数字电影台,https://histar.zapi.us.kg/?id=fans-cinema
视纳华仁纪实频道,https://histar.zapi.us.kg/?id=cnex
MTV Live HD 频道,https://histar.zapi.us.kg/?id=mtv
ELTA 娱乐台,https://histar.zapi.us.kg/?id=elta-ylt
新马频道,#genre#
Channel 5,https://histar.zapi.us.kg/?id=channel-5
Channel 8,https://histar.zapi.us.kg/?id=channel8
Channel U,https://histar.zapi.us.kg/?id=channel-u
8TV,https://histar.zapi.us.kg/?id=8tv
TV9,https://histar.zapi.us.kg/?id=tv9
CM+,https://histar.zapi.us.kg/?id=cm-plus
E乐,https://histar.zapi.us.kg/?id=singtel-tv
TV1,https://histar.zapi.us.kg/?id=tv1-my
TV2,https://histar.zapi.us.kg/?id=tv2-my
TV3,https://histar.zapi.us.kg/?id=tv3-my
ChannelNewsAsia,https://histar.zapi.us.kg/?id=channelnewsasia
OKEY,https://histar.zapi.us.kg/?id=okey
TVB Magic,https://histar.zapi.us.kg/?id=tvb-magic
tvN Movies,https://histar.zapi.us.kg/?id=tvn-movies
AXN,https://histar.zapi.us.kg/?id=axn
TV Alhijrah,https://histar.zapi.us.kg/?id=tv-alhijrah
ColorsHindi,https://histar.zapi.us.kg/?id=colorshindi
TVS,https://histar.zapi.us.kg/?id=tvs
tvN,https://histar.zapi.us.kg/?id=tvn
BeritaRTM,https://histar.zapi.us.kg/?id=beritartm
SukanRTM,https://histar.zapi.us.kg/?id=sukanrtm
HITSMovies,https://histar.zapi.us.kg/?id=hitsmovies
ShowCase,https://histar.zapi.us.kg/?id=showcase
BBCEarth,https://histar.zapi.us.kg/?id=bbcearth
Mediacorp Suria,https://histar.zapi.us.kg/?id=mediacorp-suria
Mediacorp Vasantham,https://histar.zapi.us.kg/?id=mediacorp-vasantham
Gem,https://histar.zapi.us.kg/?id=gem
GlobalTrekker,https://histar.zapi.us.kg/?id=globaltrekker
DramaSangat,https://histar.zapi.us.kg/?id=dramasangat
SunTV,https://histar.zapi.us.kg/?id=suntv
SunMusic,https://histar.zapi.us.kg/?id=sunmusic
SunNews,https://histar.zapi.us.kg/?id=sunnews
AwesomeTV,https://histar.zapi.us.kg/?id=awesometv
DidikTV7,https://histar.zapi.us.kg/?id=didiktv7
Adithya,https://histar.zapi.us.kg/?id=adithya
KTVHD,https://histar.zapi.us.kg/?id=ktvhd
SunLife,https://histar.zapi.us.kg/?id=sunlife
StarVijay,https://histar.zapi.us.kg/?id=starvijay
ColorsTamil,https://histar.zapi.us.kg/?id=colorstamil
ZeeTamil,https://histar.zapi.us.kg/?id=zeetamil
ZeeCinemaHD,https://histar.zapi.us.kg/?id=zeecinemahd
Boo,https://histar.zapi.us.kg/?id=boo
MTVLive,https://histar.zapi.us.kg/?id=mtvlive
Bernama,https://histar.zapi.us.kg/?id=bernama
Moonbug,https://histar.zapi.us.kg/?id=moonbug
新加坡StarHub系列,#genre#
Hub都会,https://histar.zapi.us.kg/?id=HubECity
Hub娱家,https://histar.zapi.us.kg/?id=HubVVDrama
HubSports 1,https://histar.zapi.us.kg/?id=hubsports1
HubSports2,https://histar.zapi.us.kg/?id=hubsports2
HubSports3,https://histar.zapi.us.kg/?id=hubsports3
HubSport4,https://histar.zapi.us.kg/?id=hubsports4
HubSports Plus,https://histar.zapi.us.kg/?id=hubsports-plus
Hub Premier 1,https://histar.zapi.us.kg/?id=hubpremier1
HubPremier2,https://histar.zapi.us.kg/?id=hubpremier2
HubPremier3,https://histar.zapi.us.kg/?id=hubpremier3
HubPremier 4,https://histar.zapi.us.kg/?id=hubpremier4
HubPremier 5,https://histar.zapi.us.kg/?id=hubpremier5
Hub Sensasi,https://histar.zapi.us.kg/?id=hub-sensasi
tvn HD,https://histar.zapi.us.kg/?id=tvnhd
AstroWarna Hub版,https://histar.zapi.us.kg/?id=astro-warna-hub
ONEMalay,https://histar.zapi.us.kg/?id=one-malay
马来西亚Astro系列,#genre#
Astro AEC,https://histar.zapi.us.kg/?id=astro-aec
Astro 欢喜台,https://histar.zapi.us.kg/?id=astro-huaheedai
Astro SuperSport,https://histar.zapi.us.kg/?id=super-sports1
Astro SuperSport 2,https://histar.zapi.us.kg/?id=super-sports2
Astro SuperSport 3,https://histar.zapi.us.kg/?id=super-sports3
Astro SuperSport 4,https://histar.zapi.us.kg/?id=super-sports4
Arena Bola,https://histar.zapi.us.kg/?id=arena-bola
Arena Bola2,https://histar.zapi.us.kg/?id=arena-bola2
Astro 爱奇艺,https://histar.zapi.us.kg/?id=astro-iqiyi
Astro AOD 311 国语,https://histar.zapi.us.kg/?id=astro-aod
